account,date,pnl_sum,pnl_mean,pnl_std,trade_count,trade_usd_sum,trade_usd_mean,win_rate,fg_score,fg_class,fg_bin,fg_score_t_minus_1,pnl_next_pos
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,-175611.00005600002,-5321.545456242425,20673.809229281236,33,1212299.96,36736.36242424243,0.0,72.0,Greed,3,,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,0.0,177,900880.13,5089.718248587571,0.0,76.0,Extreme Greed,4,72.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,9482.221441,210.7160320222222,188.17603173932767,45,134360.89,2985.797555555556,0.8,74.0,Greed,4,76.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,7671.0,12601.782053941179,10,1858470.0,185847.0,0.9,60.0,Greed,2,74.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,101011.685664,120.39533452205006,1727.5898244164778,839,19794543.66,23593.019856972587,0.30512514898688914,26.0,Fear,0,60.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,833.0337954804993,2408.864768709008,641,5365898.24,8371.136099843994,0.8424336973478939,33.0,Fear,1,26.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,375620.270243,707.3828064839925,4706.059084117009,531,5616220.88,10576.687156308852,0.15630885122410546,44.0,Fear,1,33.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,44400.9058,211.43288476190477,949.222968424913,210,5582863.31,26585.06338095238,0.37142857142857144,67.0,Greed,2,44.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-09-02,30897.0887,219.12828865248227,687.4738419495811,141,1432708.93,10161.056241134751,0.9361702127659575,67.0,Greed,2,67.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-10-02,55086.0,1147.625,3845.1429789897975,48,1537560.0,32032.5,0.3333333333333333,67.0,Greed,2,67.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-11-02,0.0,0.0,0.0,6,807600.01,134600.00166666668,0.0,67.0,Greed,2,67.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-12-04,307855.80341,9930.832368064515,29916.431926603156,31,666240.85,21491.640322580646,1.0,67.0,Greed,2,67.0,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,0.0,0.0,,1,0.06,0.06,0.0,71.0,Greed,3,,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,0.0,0.0,0.0,34,48513.58,1426.8700000000001,0.0,72.0,Greed,3,71.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,3515.031065,135.1935025,453.1311388834703,26,52028.630000000005,2001.101153846154,0.9615384615384616,25.0,Fear,0,72.0,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,0.0,0.0,0.0,46,52066.88,1131.888695652174,0.0,31.0,Fear,1,25.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,2517.787385,39.340427890625,44.059822504299866,64,54584.72,852.88625,0.984375,49.0,Neutral,1,31.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,1162.002541,14.897468474358975,47.09706615613972,78,163388.11,2094.719358974359,0.32051282051282054,70.0,Greed,3,49.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,1243.853569,4.975414276,13.212297384548968,250,203876.44,815.50576,0.324,72.0,Greed,3,70.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,12.28714238491296,55.0118349778375,517,1443682.0,2792.42166344294,0.4506769825918762,60.0,Greed,2,72.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,22.55365799090909,95.20267591801426,110,219900.91,1999.099181818182,0.45454545454545453,33.0,Fear,1,60.0,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,0.0,0.0,,1,54768.6,54768.6,0.0,15.0,Extreme Fear,0,33.0,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-3169.3554679999997,-48.759314892307685,372.4800486094771,65,114173.17,1756.5103076923076,0.0,25.0,Fear,0,15.0,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-07-03,0.0,0.0,0.0,37,55481.42,1499.4978378378378,0.0,25.0,Fear,0,25.0,True
